Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
89,0.0007960571428571436,0.673459428571429,0.5447205428571433,merged,1,Free,1
90,0.006157200000000005,0.7026129142857147,0.5471149428571431,merged,1,Free,1
91,0.012685400000000008,0.7267901142857147,0.551328285714286,merged,1,Free,1
92,0.016596971428571437,0.7459208285714289,0.5580729142857146,merged,1,Free,1
93,0.01791054285714287,0.7593334857142862,0.566968685714286,merged,1,Free,1
94,0.023311085714285727,0.7671542571428576,0.5737965714285717,merged,1,Free,1
95,0.019382828571428583,0.7716738000000004,0.5827929714285718,merged,1,Free,1
96,0.010649200000000008,0.7762887714285718,0.5911490285714289,merged,1,Free,1
97,0.008622628571428578,0.7790750571428576,0.596670685714286,merged,1,Free,1
98,0.012111771428571436,0.7785687142857147,0.6008210285714288,merged,1,Free,1
99,0.008904142857142862,0.7767231714285718,0.6057493142857147,merged,1,Free,1
100,0.006818371428571433,0.7748364285714291,0.605569685714286,merged,1,Free,1
101,0.00559594285714286,0.773169228571429,0.601702028571429,merged,1,Free,1
102,0.0019827714285714296,0.7715107428571434,0.6003828857142861,merged,1,Free,1
103,-0.002589257142857144,0.7716270571428576,0.6006653714285718,merged,1,Free,1
104,-0.003230685714285716,0.7747342000000004,0.5999977428571432,merged,1,Free,1
105,-0.0035827428571428596,0.7808934857142862,0.6012128285714289,merged,1,Free,1
106,-0.006162828571428574,0.7912470857142863,0.6067359142857146,merged,1,Free,1
107,-0.0069148857142857165,0.8052403428571433,0.6133692857142861,merged,1,Free,1
108,-0.004601400000000002,0.8224712857142862,0.6186955714285718,merged,1,Free,1
109,0.0013930000000000006,0.8448035428571434,0.6224807428571433,merged,1,Free,1
110,0.004996428571428574,0.8656519428571433,0.6260659428571432,merged,1,Free,1
111,0.008585028571428578,0.8855223428571434,0.6280952857142861,merged,1,Free,1
112,0.015655200000000008,0.9061832285714291,0.6277698571428576,merged,1,Free,1
113,0.02128997142857144,0.9312996857142862,0.6273197428571432,merged,1,Free,1
114,0.02194308571428573,0.948380571428572,0.6278706000000003,merged,1,Free,1
115,0.025807342857142868,0.9590617142857147,0.6253633428571432,merged,1,Free,1
116,0.0063381142857142905,0.9761020857142862,0.6373058571428576,merged,1,Free,1
117,0.005402428571428579,0.988308371428572,0.6362538857142861,Cam1,1,Free,1
118,0.007201514285714289,0.9951009142857149,0.6309533142857147,merged,1,Free,1
119,0.024998914285714297,0.9950282857142863,0.6146435142857147,merged,1,Free,1
120,0.013873742857142865,1.0004854571428576,0.6127282000000004,merged,1,Free,1
121,0.013242057142857151,1.0034402571428576,0.6023203714285719,merged,1,Free,1
122,0.00581271428571429,1.0061916285714292,0.5928668285714289,merged,1,Free,1
123,0.0025091142857142875,1.0073434000000008,0.5820983142857147,merged,1,Free,1
124,0.00016045714285714324,1.0085823428571434,0.5726348285714289,merged,1,Free,1
125,-0.0006960857142857142,1.0111148000000005,0.5676489714285717,merged,1,Free,1
126,-0.00033748571428571407,1.0147458000000007,0.5636751142857146,merged,1,Free,1
